,conduct,age,gender,nationality,pob,tutor/makeup,grade,admission,guardian,time_with_parents,communication_with_parents,reward_for_achievements,parent_understanding,transport_type,residence,travel time,birth_order,exercice,previous_school,mother_tongue,curriculum,sleeping time_in_pm,parenting_style,trauma,type,quality,english,amharic,arabic,geez,ict,maths,ss,gp,is,moral,hpe,art,chemistry,physics,gpa,literature,biology,geography,history,civics,ent-ship,matrik,level
160,a,15.0,m,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,german square,30-60,first child,3.0,flipper,eth-lang,no,7.0,authoritative,0.0,none,4.5,92.0,86.46,,,73.29,77.1,,,,,90.38,,67.61,67.88,79.3,87.5,71.86,75.33,68.41,87.14,85.71,75.9,highschool
161,b,15.0,m,ethiopian,ethiopia,no,9,paid,both,little,agree,strongly agree,strongly agree,private,asko,15-30,middle child,2.0,gibson,eth-lang,no,6.5,authoritative,0.0,none,4.0,94.0,97.73,,,73.8,71.85,,,,,82.63,,68.78,74.19,82.8,94.0,80.0,83.67,84.32,92.19,79.43,81.1,highschool
162,a,14.0,f,ethiopian,ethiopia,no,9,paid,both,a lot,strongly agree,agree,strongly agree,private,wingate,15-30,first child,1.0,intellectual,eth-lang,yes,9.0,authoritative,0.0,none,4.25,95.33,88.62,,,70.24,70.72,,,,,91.88,,70.83,72.84,81.5,88.5,80.82,78.0,81.96,83.24,86.4,79.2,highschool
163,b,14.0,f,british,ethiopia,yes,9,paid,both,little,somehow agree,agree,disagree,private,legetafo,60+,first child,3.0,none,for-lang,yes,7.0,authoritarian,1.0,-,2.75,97.33,93.58,,,75.79,70.66,,,,,89.38,,70.56,71.6,81.7,93.15,77.42,78.0,74.9,85.81,84.49,78.3,highschool
164,a,16.0,f,ethiopian,ethiopia,no,9,scholarship,both,a lot,agree,somehow agree,agree,public,bethel,15-30,last child,1.0,yemane birhan,eth-lang,no,9.0,authoritative,0.0,none,3.5,97.33,100.0,,,88.87,96.63,,,,,94.13,,96.58,84.59,94.7,97.65,100.0,93.67,92.68,90.38,98.86,94.0,highschool
165,a,15.0,f,ethiopian,ethiopia,yes,9,paid,both,little,agree,somehow agree,disagree,private,german square,30-60,middle child,1.0,intellectual,eth-lang,yes,6.0,authoritative,0.0,none,2.75,91.67,93.53,,,82.71,77.57,,,,,89.13,,81.57,73.96,83.8,91.82,76.08,75.17,80.99,83.81,91.9,80.1,highschool
166,a,15.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,jemo,30-60,middle child,3.0,jemo 2,eth-lang,no,6.0,authoritative,0.0,none,4.5,94.33,99.0,,,96.22,91.64,,,,,94.88,,95.03,85.8,94.4,94.65,95.83,95.33,95.24,92.38,97.1,93.2,highschool
167,a,15.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,agree,agree,somehow agree,on foot,weyra,30-60,middle child,2.0,yemane berhan,eth-lang,no,7.5,authoritative,1.0,physical&emotional,3.5,90.83,99.15,,,86.13,95.56,,,,,92.88,,86.06,87.87,91.3,93.15,88.7,93.67,83.8,92.38,96.75,89.9,highschool
168,a,16.0,m,ethiopian,ethiopia,no,9,scholarship,mother,a lot,strongly agree,strongly agree,agree,public,anfo,30-60,first child,0.0,mimosa,eth-lang,no,5.5,authoritative,0.0,none,4.25,96.0,99.58,,,98.62,100.0,,,,,86.75,,96.9,96.2,95.7,90.77,100.0,95.83,93.65,92.19,98.06,96.3,highschool
169,a,16.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,agree,public,riche,15-30,first child,0.0,uog community,eth-lang,no,6.5,authoritative,0.0,none,4.25,94.33,84.84,,,80.42,62.57,,,,,86.0,,77.2,70.85,77.9,77.52,69.77,74.17,81.65,76.48,77.16,75.9,highschool
170,a,16.0,m,ethiopian,ethiopia,no,9,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,torhailoch,15-,first child,3.0,meserete edget,eth-lang,yes,8.0,authoritative,0.0,none,4.5,91.67,97.18,,,94.27,97.16,,,,,89.5,,97.9,85.77,92.2,88.27,96.27,95.33,83.4,93.05,88.76,92.6,highschool
171,a,15.0,m,ethiopian,ethiopia,yes,9,paid,both,a lot,agree,agree,agree,private,total,15-,first child,3.0,flipper,eth-lang,yes,7.0,authoritarian,0.0,none,3.75,81.67,97.22,,,91.96,86.84,,,,,89.5,,84.96,78.69,88.4,99.5,88.61,93.33,85.83,86.29,84.73,85.8,highschool
172,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,middle child,2.0,abay,eth-lang,no,8.0,authoritative,0.0,none,4.5,89.0,93.29,,,93.5,91.44,,,,,94.43,,91.67,88.54,91.6,94.8,93.99,93.93,83.7,89.43,93.5,90.2,highschool
173,c,17.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,agree,strongly agree,private,gulele,15-30,middle child,2.0,gibson,eth-lang,no,8.0,permissive,0.0,none,4.25,93.67,72.43,,,93.5,63.64,,,,,89.43,,80.83,77.41,80.0,79.63,72.15,70.21,76.06,85.71,85.81,77.5,highschool
174,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,russia camp,15-,first child,1.0,flipper,eth-lang,yes,7.0,authoritative,0.0,none,4.5,99.67,90.57,,,88.5,79.73,,,,,91.93,,85.17,85.44,89.8,98.33,94.81,87.9,83.51,90.43,91.7,88.3,highschool
175,b,15.0,m,ethiopian,ethiopia,no,10,paid,both,not much,agree,strongly agree,somehow agree,service,bethel,15-30,first child,0.0,mount olive academy,eth-lang,no,6.0,permissive,0.0,none,3.25,91.0,89.57,,,82.0,70.53,,,,,94.43,,78.33,83.9,82.1,85.5,74.62,72.88,73.47,79.07,91.86,78.0,highschool
176,a,15.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,somehow agree,somehow agree,somehow agree,private,torhailoch,15-,middle child,1.0,intellectual,eth-lang,yes,9.0,authoritative,0.0,none,3.0,89.67,46.43,,,70.59,70.7,,,,,86.93,,77.0,82.56,75.7,84.5,75.86,67.77,72.79,72.33,87.21,76.1,highschool
177,a,15.0,f,american,ethiopia,yes,10,paid,both,little,somehow agree,agree,agree,private,german square,15-30,first child,1.0,intellectual,eth-lang,yes,7.0,authoritative,0.0,none,3.25,95.33,88.07,,,87.5,63.39,,,,,86.18,,80.17,84.6,85.0,92.53,87.61,82.0,75.58,87.42,94.2,82.0,highschool
178,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,agree,agree,private,torhailoch,15-,first child,3.0,school of nations,eth-lang,yes,8.0,authoritative,0.0,none,3.75,95.67,83.07,,,84.0,87.39,,,,,89.68,,85.83,87.31,86.7,92.4,87.77,85.65,75.55,83.9,88.3,86.1,highschool
179,a,15.0,m,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,strongly disagree,strongly disagree,private,saris,30-60,first child,0.0,rice,eth-lang,yes,8.0,authoritative,0.0,none,2.5,96.0,77.57,,,81.0,80.5,,,,,93.43,,70.0,88.66,83.6,97.63,76.32,77.01,77.43,81.86,89.2,81.0,highschool
180,a,15.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,disagree,private,sarbet,15-30,first child,2.0,intellectual,eth-lang,no,7.0,authoritarian,0.0,none,3.0,96.67,87.57,,,81.3,84.86,,,,,94.43,,94.0,85.83,87.7,94.6,91.67,76.69,77.43,84.09,90.89,86.4,highschool
181,b,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,strongly agree,strongly agree,service,kality,60+,last child,2.0,akaki mh,eth-lang,no,8.0,authoritative,0.0,none,4.25,97.0,93.29,,,92.25,99.25,,,,,94.43,,98.67,96.09,94.5,93.3,95.54,89.13,91.14,91.43,97.11,94.8,highschool
182,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,little,agree,strongly agree,somehow agree,private,bethel,15-,first child,0.0,hilltops,eth-lang,no,7.0,authoritative,1.0,emotional,3.5,98.67,96.64,,,92.0,98.51,,,,,93.43,,94.83,96.63,94.0,100.0,99.0,83.96,83.76,92.24,91.96,93.5,highschool
183,a,16.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,agree,strongly agree,agree,private,bole bulbula,30-60,middle child,3.0,gibson,eth-lang,no,6.5,authoritative,0.0,none,4.0,98.67,92.29,,,94.5,98.88,,,,,93.93,,96.5,99.54,96.3,100.0,98.87,98.21,91.38,94.57,94.51,97.1,highschool
184,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,little,agree,agree,strongly agree,private,sarbet,15-,first child,2.0,hilltops,eth-lang,yes,8.0,permissive,1.0,none,3.75,96.67,87.07,,,91.0,81.29,,,,,90.18,,89.0,87.67,88.4,93.3,86.72,83.8,82.48,90.5,89.51,87.3,highschool
185,a,15.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,public,weyra,15-30,middle child,3.0,spring of knowledge,eth-lang,no,8.0,authoritative,0.0,none,4.5,96.33,91.93,,,90.69,84.55,,,,,93.93,,92.5,92.5,91.2,94.3,93.38,83.74,85.47,92.29,93.66,90.1,highschool
186,a,16.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,agree,public,jemo,60+,middle child,1.0,jemo 2,eth-lang,no,7.0,authoritative,0.0,none,4.25,95.0,94.43,,,81.5,85.84,,,,,91.43,,94.67,86.77,89.5,89.5,91.52,85.53,87.53,91.43,88.51,89.8,highschool
187,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,agree,agree,strongly agree,public,saris,60+,middle child,1.0,kotari,eth-lang,no,8.0,authoritative,1.0,emotional,4.0,94.67,96.29,,,94.5,99.25,,,,,91.43,,98.0,94.0,93.4,93.8,96.61,87.94,88.27,83.95,96.06,92.8,highschool
188,a,15.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,somehow agree,private,alemgena,60+,first child,1.0,school of nations,for-lang,yes,5.0,authoritative,0.0,none,3.25,96.0,95.93,,,90.5,86.75,,,,,93.18,,95.83,93.83,92.2,96.14,93.93,87.18,87.36,88.76,93.2,91.2,highschool
189,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,karakore,15-30,last child,1.0,jemo 2,eth-lang,yes,7.0,authoritative,0.0,none,4.5,95.33,96.29,,,95.0,94.76,,,,,90.18,,95.5,89.89,92.4,92.9,95.46,85.59,89.29,89.66,91.36,91.9,highschool
190,a,17.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,jemo,30-60,first child,3.0,abay,eth-lang,no,8.0,authoritative,1.0,none,4.5,93.67,96.64,,,97.15,98.13,,,,,94.38,,95.22,98.31,94.4,83.1,94.71,93.97,92.79,91.29,98.06,94.8,highschool
191,a,16.0,m,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,agree,somehow agree,private,jemo,15-30,first child,3.0,intellectual,eth-lang,yes,8.0,authoritative,0.0,none,3.75,93.67,86.21,,,79.15,71.46,,,,,90.13,,81.24,84.12,83.8,87.1,78.54,76.38,81.55,87.57,91.86,81.8,highschool
192,a,16.0,m,ethiopian,ethiopia,no,10,paid,both,little,somehow agree,agree,agree,private,german square,30-60,last child,3.0,abune gorgorios,eth-lang,no,8.0,authoritative,0.0,none,3.25,94.67,91.43,,,90.69,82.63,,,,,91.43,,90.62,84.91,87.4,92.7,81.46,78.0,79.75,85.14,92.31,84.6,highschool
193,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,strongly agree,strongly agree,service,jemo,60+,first child,1.0,abay,for-lang,no,7.0,authoritative,0.0,none,4.25,93.0,97.64,,,97.62,100.0,,,,,93.13,,96.88,95.26,95.3,93.1,97.54,94.32,88.97,92.29,99.2,94.8,highschool
194,a,15.0,f,ethiopian,ethiopia,no,10,paid,both,little,agree,strongly agree,somehow agree,private,addisu gebeya,15-30,middle child,0.0,gibson,eth-lang,no,7.5,authoritative,1.0,physcological,3.5,83.33,97.64,,,95.72,98.13,,,,,94.18,,95.73,99.94,94.8,96.3,100.0,96.82,90.7,89.4,95.11,94.3,highschool
195,a,15.0,f,ethiopian,ethiopia,yes,10,paid,other,a lot,agree,strongly agree,agree,private,jemo,30-60,first child,2.0,swedish,for-lang,yes,8.0,authoritative,0.0,none,4.0,82.33,33.43,,,92.08,75.31,,,,,91.63,,88.27,86.3,80.2,90.5,80.17,75.88,72.19,86.57,87.8,80.9,highschool
196,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,little,somehow agree,somehow agree,somehow agree,service,kazanchis,15-30,last child,2.0,kebena adventist,eth-lang,no,6.5,authoritarian,0.0,none,2.75,97.33,97.29,,,97.57,84.84,,,,,92.13,,91.17,88.73,91.9,96.3,88.77,86.0,87.0,92.12,95.71,89.5,highschool
197,a,17.0,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,strongly agree,agree,strongly agree,service,lafto,60+,middle child,2.0,nsl,eth-lang,no,8.0,authoritative,0.0,none,4.25,96.67,90.21,,,95.77,67.86,,,,,91.93,,78.06,76.01,87.2,97.6,88.24,83.97,81.51,92.5,93.26,83.1,highschool
198,a,15.0,f,ethiopian,ethiopia,no,10,scholarship,both,little,strongly agree,strongly agree,strongly agree,public,arabsa,60+,middle child,3.0,addis sefer,eth-lang,no,6.0,authoritative,1.0,physcological,4.25,96.0,98.14,,,97.62,100.0,,,,,94.8,,100.0,99.06,97.4,94.4,100.0,99.5,97.8,90.29,98.7,97.8,highschool
199,a,15.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,somehow agree,agree,agree,private,sarbet,15-,last child,3.0,gibson,eth-lang,no,7.0,authoritative,0.0,none,3.5,81.0,92.07,,,80.3,60.37,,,,,86.43,,69.98,70.69,75.7,70.9,67.94,71.56,77.11,72.45,83.5,71.4,highschool
200,a,16.0,f,ethiopian,ethiopia,no,10,scholarship,both,a lot,agree,somehow agree,strongly agree,public,arabsa,60+,first child,1.0,tuludimtu,eth-lang,no,6.0,authoritarian,0.0,psycological,3.75,98.33,83.71,,,94.34,76.41,,,,,92.43,,83.72,80.43,88.2,95.8,83.8,84.47,89.75,89.4,94.26,85.8,highschool
201,a,15.0,m,ethiopian,ethiopia,no,10,paid,mother,not much,agree,strongly agree,somehow agree,private,shola,30-60,middle child,0.0,radical,eth-lang,yes,8.0,authoritative,0.0,none,3.25,92.0,95.79,,,95.31,98.88,,,,,90.68,,95.42,98.74,93.2,85.9,93.69,90.62,93.18,88.71,92.1,93.9,highschool
202,a,15.0,f,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,furi,30-60,middle child,1.0,jemo 2,eth-lang,no,6.0,authoritative,0.0,none,4.5,91.0,96.29,,,93.92,76.48,,,,,88.93,,85.03,83.3,86.2,91.63,74.89,78.29,84.61,85.0,90.91,82.3,highschool
203,a,16.0,f,ethiopian,ethiopia,no,10,scholarship,mother,a lot,strongly agree,strongly agree,strongly agree,public,furi,60+,last child,2.0,jemo 2,eth-lang,no,5.0,authoritative,0.0,none,4.5,98.67,98.5,,,96.69,100.0,,,,,95.43,,98.2,97.71,97.0,96.8,97.11,97.88,97.65,93.0,93.9,97.5,highschool
204,a,16.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,agree,somehow agree,agree,private,fm jerba,15-30,middle child,2.0,reach,eth-lang,yes,8.0,authoritative,1.0,none,3.5,97.67,87.57,,,81.46,81.43,,,,,94.93,,87.85,86.57,88.3,92.3,90.09,81.76,86.31,87.57,91.76,87.4,highschool
205,b,16.0,f,american,ethiopia,yes,10,paid,both,not much,agree,agree,somehow agree,service,cmc,30-60,last child,2.0,kelem,for-lang,yes,6.5,authoritative,0.0,none,3.0,98.33,47.43,,,72.83,68.23,,,,,90.93,,73.78,78.52,80.3,95.43,85.89,86.18,86.76,73.54,86.43,81.4,highschool
206,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,agree,public,sefera,60+,first child,2.0,abay,eth-lang,no,7.0,authoritarian,0.0,none,4.25,97.0,95.29,,,97.62,97.13,,,,,92.43,,95.08,98.66,94.8,93.33,96.16,94.09,89.26,90.57,95.5,94.7,highschool
207,b,15.0,f,ethiopian,ethiopia,yes,10,paid,both,a lot,strongly agree,strongly agree,agree,private,haile garment,30-60,last child,3.0,rice,eth-lang,yes,6.0,authoritative,0.0,none,4.25,98.0,68.57,,,82.71,71.37,,,,,77.4,,84.17,70.23,82.2,96.8,81.69,79.76,80.55,84.64,93.16,81.3,highschool
208,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,little,strongly agree,agree,strongly agree,public,jemo,30-60,middle child,3.0,jemo 2,eth-lang,no,6.0,authoritative,1.0,physical,4.0,97.33,95.79,,,96.23,97.78,,,,,93.93,,96.16,98.94,95.7,98.0,97.72,88.15,93.54,92.29,98.26,95.2,highschool
209,c,16.0,m,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,gulele,15-30,first child,0.0,gibson,eth-lang,yes,10.0,authoritative,0.0,none,4.5,89.67,97.14,,,90.23,91.82,,,,,95.43,,89.23,88.36,91.1,89.0,93.38,83.82,87.68,89.43,98.7,89.2,highschool
210,a,13.0,m,ethiopian,ethiopia,no,10,scholarship,other,a lot,agree,strongly agree,somehow agree,service,ayat,60+,last child,2.0,fentaw dinku,eth-lang,no,7.5,authoritative,0.0,none,3.75,94.0,85.21,,,87.0,67.06,,,,,87.18,,75.17,70.36,83.5,92.4,80.24,79.5,87.42,91.14,88.46,80.6,highschool
211,a,16.0,f,ethiopian,ethiopia,no,10,paid,both,a lot,strongly agree,agree,somehow agree,public,hayat,30-60,middle child,0.0,nazreth,eth-lang,yes,8.0,authoritative,0.0,none,3.75,95.0,94.93,,,85.62,77.07,,,,,94.93,,81.18,80.4,87.4,94.4,84.3,83.47,85.05,90.43,89.1,84.6,highschool
212,a,17.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,somehow agree,agree,somehow agree,public,jemo,60+,first child,3.0,abay,eth-lang,no,6.0,authoritarian,0.0,none,3.25,98.33,98.14,,,98.54,99.63,,,,,90.18,,97.0,101.6,97.6,98.0,99.37,96.59,98.58,93.86,99.06,98.1,highschool
213,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,mother,a lot,agree,disagree,strongly disagree,private,kolfe,15-,first child,3.0,st theresa,for-lang,yes,5.5,authoritarian,0.0,none,2.5,91.35374269005852,88.43,,,87.0,94.5,,,,,91.68,,85.3,92.7,89.5,95.4,92.3,87.9,78.2,92.14,89.0,89.0,highschool
214,a,16.0,m,ethiopian,ethiopia,no,10,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,sefera,60+,first child,2.0,abay,eth-lang,no,5.5,authoritative,0.0,none,4.5,90.67,96.29,,,94.85,92.9,,,,,90.43,,85.3,93.23,89.6,84.7,91.66,82.3,84.93,90.57,86.36,88.9,highschool
215,b,16.0,f,ethiopian,ethiopia,no,10,scholarship,mother,not much,somehow agree,agree,strongly disagree,service,gelan,30-60,first child,0.0,embutoch,eth-lang,no,8.0,authoritarian,0.0,emopsy,2.25,85.67,87.07,,,83.5,60.01,,,,,84.18,,70.8,72.45,75.4,70.67,71.54,68.04,66.5,72.69,87.5,71.0,highschool
216,a,16.0,f,yemeni,ethiopia,no,11,paid,mother,a lot,somehow agree,somehow agree,somehow agree,private,alemgena,60+,last child,0.0,school of nations,for-lang,yes,6.0,authoritative,0.0,none,3.0,94.92,0.0,,,87.4,66.96,,,,,90.43,,,,77.8,90.18,,76.11,87.45,88.86,96.0,82.9,highschool
217,a,19.0,f,ethiopian,ethiopia,no,11,paid,both,little,somehow agree,somehow agree,somehow agree,private,torhailoch,15-30,middle child,0.0,mekanisa abadir,eth-lang,yes,6.5,authoritative,0.0,none,2.75,91.17,88.61,,,86.8,78.44,,,,,93.57,,,,85.6,74.92,,78.72,92.2,74.57,96.57,83.0,highschool
218,a,17.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly disagree,agree,private,lebu,30-60,middle child,0.0,intellectual,eth-lang,no,10.0,authoritative,0.0,none,3.25,92.08,85.93,,,91.8,66.33,,,,,93.29,,,,89.5,98.87,,83.94,96.36,95.43,90.5,86.8,highschool
219,b,16.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,agree,strongly agree,public,gotera,15-30,first child,3.0,rice,eth-lang,yes,9.0,authoritative,0.0,none,4.25,73.44,84.61,,,86.6,63.67,,,,,81.86,,,,81.2,92.85,,78.89,78.26,90.29,81.36,76.9,highschool
220,a,17.0,f,ethiopian,ethiopia,no,11,paid,both,little,agree,agree,agree,service,megenagna,30-60,first child,3.0,mount olive,eth-lang,no,8.0,authoritative,0.0,none,3.5,92.69,90.93,,,90.9,61.21,,,,,94.43,,,,87.2,94.33,,75.83,92.3,83.36,95.93,81.1,highschool
221,a,15.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,disagree,agree,private,sarbet,15-,middle child,3.0,school of tomorrow,eth-lang,yes,8.0,authoritative,0.0,none,3.25,97.17,86.79,,,85.95,74.22,,,,,91.14,,,,90.4,94.82,,95.17,97.13,84.32,96.79,89.6,highschool
222,a,16.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,bole,15-30,middle child,3.0,andinet,eth-lang,yes,8.0,authoritative,0.0,none,4.0,85.26,83.29,,,82.0,77.46,,,,,92.14,,,,88.1,86.21,,93.17,97.45,91.71,92.57,89.0,highschool
223,a,16.0,f,ethiopian,ethiopia,no,11,scholarship,mother,a lot,strongly agree,somehow agree,disagree,service,gerji,60+,last child,1.0,safari,eth-lang,no,5.0,authoritative,0.0,none,3.25,94.19,93.5,,,92.6,88.9,,,,,93.71,,,,94.2,97.97,,94.89,94.66,95.71,95.79,93.7,highschool
224,a,17.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,agree,private,musena,15-,last child,3.0,school of nations,eth-lang,no,6.0,authoritative,0.0,none,3.75,94.92,88.79,,,97.6,74.34,,,,,93.86,,,,92.7,97.41,,95.72,96.46,95.43,92.32,91.4,highschool
225,a,17.0,m,ethiopian,ethiopia,yes,11,paid,both,a lot,agree,agree,strongly agree,private,musena,15-,middle child,3.0,gss,eth-lang,yes,7.5,authoritative,0.0,none,4.0,83.76,83.86,,,84.8,67.46,,,,,94.29,,,,81.8,75.89,,73.72,86.21,82.0,85.57,78.6,highschool
226,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,service,lebu,60+,first child,1.0,stanford,eth-lang,no,5.0,authoritative,0.0,none,4.5,90.44,96.0,,,91.6,70.34,,,,,89.0,,,,91.0,93.81,,98.22,94.84,93.86,92.0,89.5,highschool
227,a,16.0,f,ethiopian,ethiopia,no,11,paid,mother,a lot,strongly agree,strongly agree,strongly agree,private,sarbet,15-30,middle child,0.0,gibson,eth-lang,no,8.0,authoritative,0.0,none,4.5,94.92,89.68,,,89.6,63.57,,,,,90.29,,,,87.6,95.03,,78.61,91.78,84.57,98.36,82.7,highschool
228,b,17.0,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,paulos,15-30,middle child,2.0,greek school,for-lang,yes,8.0,authoritative,0.0,none,4.5,94.17,4.0,,,91.2,69.58,,,,,96.14,,,,81.1,93.44,,90.11,95.37,86.0,91.29,87.0,highschool
229,a,17.0,f,ethiopian,ethiopia,yes,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,jemo,30-60,first child,0.0,gibson,eth-lang,yes,6.5,authoritarian,1.0,none,4.5,95.67,90.04,,,93.2,79.28,,,,,86.71,,,,89.1,94.25,,79.17,89.67,88.86,94.64,86.5,highschool
230,a,16.0,f,ethiopian,ethiopia,no,11,paid,mother,a lot,somehow agree,strongly disagree,strongly disagree,service,jemo,30-60,last child,0.0,mark,eth-lang,yes,8.5,authoritarian,1.0,none,2.0,90.44,87.61,,,88.0,81.4,,,,,91.43,,,,89.0,91.04,,81.33,93.08,93.0,92.5,87.9,highschool
231,a,16.0,m,british,ethiopia,no,11,scholarship,both,a lot,strongly agree,agree,agree,public,sarbet,15-30,first child,3.0,greek school,for-lang,yes,10.0,authoritative,0.0,none,4.0,77.87,38.18,,,88.6,59.84,,,,,97.0,,,,78.9,97.52,,81.0,85.19,87.71,76.09,78.3,highschool
232,a,17.0,m,american,ethiopia,yes,11,paid,both,a lot,strongly agree,somehow agree,somehow agree,private,gerji,30-60,last child,3.0,allen,for-lang,yes,8.0,authoritative,0.0,none,3.5,94.19,5.0,,,95.8,63.89,,,,,97.86,,,,80.2,98.64,,74.56,90.81,90.71,90.64,82.8,highschool
233,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,agree,somehow agree,private,sarbet,15-,last child,2.0,school of tomorrow,eth-lang,no,7.0,authoritative,1.0,none,3.5,95.69,83.43,,,87.6,79.25,,,,,88.86,,,,85.9,92.33,,74.72,86.18,81.71,89.57,83.5,highschool
234,a,16.0,m,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,somehow agree,private,german square,30-60,first child,3.0,intellectual,eth-lang,yes,8.0,authoritative,0.0,none,4.0,89.69,86.04,,,90.51,77.17,,,,,89.86,,,,86.4,86.52,,77.17,86.22,95.14,85.63,85.1,highschool
235,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,strongly agree,strongly agree,strongly agree,private,lebu,30-60,first child,2.0,intellectual,eth-lang,yes,7.0,authoritative,0.0,none,4.5,84.55,91.93,,,94.33,82.4,,,,,93.71,,90.03,81.32,89.7,94.56,88.47,,,96.14,,87.2,highschool
236,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,strongly agree,public,kazanchis,30-60,middle child,0.0,kebena adventist,eth-lang,no,6.0,authoritative,0.0,none,4.5,97.92,98.5,,,100.0,97.73,,,,,100.0,,100.0,94.98,98.4,97.76,97.26,,,99.57,,97.9,highschool
237,a,17.0,f,ethiopian,ethiopia,no,11,scholarship,both,a lot,strongly agree,strongly agree,agree,public,lafto,30-60,middle child,2.0,tehadso,eth-lang,yes,7.0,authoritative,0.0,none,4.25,96.42,97.68,,,99.6,95.22,,,,,95.71,,98.54,96.06,97.4,97.95,97.86,,,99.0,,97.2,highschool
238,a,16.0,m,ethiopian,ethiopia,no,11,scholarship,mother,little,agree,agree,agree,public,abado,60+,last child,3.0,meskaye,eth-lang,no,8.0,authoritative,0.0,none,3.5,92.75,94.68,,,98.0,86.94,,,,,97.43,,96.67,82.19,93.4,96.59,95.96,,,92.71,,91.2,highschool
239,a,16.0,f,ethiopian,ethiopia,no,11,paid,both,a lot,agree,strongly agree,somehow agree,service,tuludimtu,60+,middle child,2.0,gibson,eth-lang,no,5.5,authoritative,0.0,none,3.75,93.5,95.75,,,95.93,84.74,,,,,97.43,,96.67,87.78,93.7,96.38,92.29,,,96.14,,91.9,highschool
240,a,17.0,m,ethiopian,ethiopia,no,11,scholarship,both,a lot,agree,agree,strongly agree,public,haile garment,30-60,last child,2.0,hidase,eth-lang,no,7.0,authoritative,0.0,none,4.0,89.0,95.68,,,97.73,96.58,,,,,94.86,,98.33,85.72,94.6,96.38,93.57,,,98.57,,93.6,highschool
